ID,Sex,SpeciesID,Species,Tribe,CollectionDate,CollectionLocation,latitude,longitude
KAF4,F,Calmel,Callochromis melanostigma,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH5,M,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCB8,NA,Batleo,Bathybates leo,Bathybatini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCB9,NA,Batleo,Bathybates leo,Bathybatini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA1,NA,Trioto,Triglachromis otostigma,Limnochromini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAF6,F,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAE1,F,Batleo,Bathybates leo,Bathybatini,14.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAF2,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCC7,NA,Batleo,Bathybates leo,Bathybatini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA2,NA,Tylpol,Tylochromis polylepis,Tylochromini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA3,NA,Tylpol,Tylochromis polylepis,Tylochromini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAI9,NA,Trioto,Triglachromis otostigma,Limnochromini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCB3,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF4,F,Lamorn,Lamprologus ornatipinnis,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCC5,NA,Batleo,Bathybates leo,Bathybatini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
LEC8,F,Plepar,Plecodus paradoxus,Perissodini,28.06.15,Bulu Fishermen,-6.017972222,29.73880556
LEC7,F,Plepar,Plecodus paradoxus,Perissodini,28.06.15,Bulu Fishermen,-6.017972222,29.73880556
KEH3,M,Neoleu,Neolamprologus longior,Lamprologini,27.06.15,Bulu Point,-6.016111111,29.74638889
KEH4,M,Neoleu,Neolamprologus longior,Lamprologini,27.06.15,Bulu Point,-6.016111111,29.74638889
LED3,M,Neoleu,Neolamprologus longior,Lamprologini,28.06.15,Bulu Point,-6.016111111,29.74638889
LEC9,M,Neoleu,Neolamprologus longior,Lamprologini,28.06.15,Bulu Point,-6.016111111,29.74638889
KEH8,NA,Neoleu,Neolamprologus longior,Lamprologini,27.06.15,Bulu Point,-6.016111111,29.74638889
KEI2,F,Troluk,Tropheus sp. "lukuga",Tropheini,27.06.15,Bulu Point,-6.016111111,29.74638889
LED1,M,Neoleu,Neolamprologus longior,Lamprologini,28.06.15,Bulu Point,-6.016111111,29.74638889
LEE1,F,Neoleu,Neolamprologus longior,Lamprologini,29.06.15,Bulu Point,-6.016111111,29.74638889
KEH9,M,Plepar,Plecodus paradoxus,Perissodini,27.06.15,Bulu Point,-6.016111111,29.74638889
KEI1,M,Plepar,Plecodus paradoxus,Perissodini,27.06.15,Bulu Point,-6.016111111,29.74638889
KEH5,M,Neoleu,Neolamprologus longior,Lamprologini,27.06.15,Bulu Point,-6.016111111,29.74638889
JWE9,M,Hchelo,Hemichromis elongatus,Hemichromini,,Cameroon: Ayatto,4.149861,9.524222
JWF1,Juvenile,Htcmul,Heterochromis multidens,Heterochromini,,Cameroon: Boumba,3.220028,14.920167
JWF2,Juvenile,Pelmar,Pelmatolapia mariae,Pelmatolapini,,Cameroon: Cross / Mamfe,5.765861,9.310667
JWE7,M,Gobeth,Gobiocichla ethelwynnae,Gobiocichlini,,Cameroon: Cross / Mamfe,5.765861,9.310667
JWE5,NA,Copbak,Coptodon bakossiorum,Coptodini,,Cameroon: Lake Bermin,5.156694,9.636361
JWD3,NA,Etingu,Etia nguti,Etini,,Cameroon: Mafue River / Nguti,5.337806,9.417389
JWE4,M,Bencon,Benitochromis conjunctus,Chromidotilapini,,Cameroon: Muyuka,4.278278,9.404083
JBA3,M,Cphgib,Cyphotilapia gibberosa,Cyphotilapiini,30.08.14,Cape Chaitika Fishermen,-8.568888889,30.79705556
JBA1,M,Neobif,Neolamprologus bifasciatus,Lamprologini,30.08.14,Cape Chaitika Fishermen,-8.568888889,30.79705556
JBA5,NA,Cphgib,Cyphotilapia gibberosa,Cyphotilapiini,30.08.14,Cape Chaitika Fishermen,-8.568888889,30.79705556
JBA4,F,Cphgib,Cyphotilapia gibberosa,Cyphotilapiini,30.08.14,Cape Chaitika Fishermen,-8.568888889,30.79705556
JBA2,M,Cphgib,Cyphotilapia gibberosa,Cyphotilapiini,30.08.14,Cape Chaitika Fishermen,-8.568888889,30.79705556
KEE3,M,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEC5,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEC3,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED8,M,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED1,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEB8,F,Leppro,Lepidiolamprologus profundicola,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED9,F,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEE1,F,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED6,M,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED7,F,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEE5,M,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEC8,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEC9,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEC4,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED3,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEB7,M,Neoleu,Neolamprologus longior,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEB9,F,Leppro,Lepidiolamprologus profundicola,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
LCI9,F,Leppro,Lepidiolamprologus profundicola,Lamprologini,07.07.15,Cape Kabogo,-5.460833333,29.7475
KEC2,F,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEE2,F,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEC1,M,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEE7,M,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED2,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEE6,M,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED5,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KED4,NA,Neosim,Neolamprologus similis,Lamprologini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KEE4,F,Trolun,Tropheus sp. "lunatus",Tropheini,25.06.15,Cape Kabogo,-5.460833333,29.7475
KFB3,F,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFB4,F,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFB5,F,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA2,M,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA6,F,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA9,F,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFB2,F,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA1,M,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA5,M,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA4,M,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA7,M,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
KFA3,M,Cypdwj,Cyprichromis sp. "dwarf jumbo",Cyprichromini,20.06.15,Cave Kigoma,-4.886944444,29.61583333
INC9,F,Neocal,Neolamprologus calliurus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB8,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC7,F,Neocal,Neolamprologus calliurus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
IND2,M,TelteS,Telmatochromis temporalis,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB4,F,Neomux,Neolamprologus mustax,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INA7,M,Lamoce,Lamprologus ocellatus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB2,F,Lamoce,Lamprologus ocellatus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
IND4,M,TelteS,Telmatochromis temporalis,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INA8,M,Lamoce,Lamprologus ocellatus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC3,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB9,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB6,NA,Neosex,Neolamprologus sexfasciatus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
IND3,M,TelteS,Telmatochromis temporalis,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB3,M,Neomux,Neolamprologus mustax,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC8,M,Neocal,Neolamprologus calliurus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC5,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC4,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB5,NA,Neosex,Neolamprologus sexfasciatus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC2,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INB1,M,Lamoce,Lamprologus ocellatus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
IND5,M,TelteS,Telmatochromis temporalis,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC6,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INC1,NA,Julkom,Julidochromis sp. "kombe",Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
IND6,M,TelteS,Telmatochromis temporalis,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
INA9,M,Lamoce,Lamprologus ocellatus,Lamprologini,16.08.14,Chezi,-8.779444444,31.00555556
JBG3,M,Batmin,Bathybates minor,Bathybatini,01.09.14,Chezi Fishermen,-8.778888889,31.00694444
JBG4,M,Gwcabe,Limnochromis abeelei,Limnochromini,01.09.14,Chezi Fishermen,-8.778888889,31.00694444
JBG5,M,Gwcabe,Limnochromis abeelei,Limnochromini,01.09.14,Chezi Fishermen,-8.778888889,31.00694444
IRG7,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG6,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG8,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI9,F,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG5,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRH7,M,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA5,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRH8,F,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA1,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA7,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA4,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRH4,F,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRH6,F,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI8,M,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI7,NA,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG9,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA6,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRH1,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA3,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG4,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRF8,F,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI5,NA,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG1,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA8,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA2,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG2,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IVA9,NA,Telshe,Telmatochromis sp. "shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI6,NA,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI1,NA,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRG3,NA,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRF6,M,Neomul,Neolamprologus multifasciatus,Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
MPB2,M,Telshe,Telmatochromis sp. "shell",Lamprologini,07.09.16,Chibwensolo,-8.442777778,30.45472222
IRH2,M,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRH9,NA,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI3,NA,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRI2,NA,Altshe,Altolamprologus sp. "compressiceps shell",Lamprologini,25.08.14,Chibwensolo,-8.442777778,30.45472222
IRA4,M,Neofur,Neolamprologus furcifer,Lamprologini,24.08.14,Chimba,-8.426111111,30.45666667
IRB2,F,Julreg,Julidochromis sp. "regani south",Lamprologini,24.08.14,Chimba,-8.426111111,30.45666667
IRA1,M,Lesper,Lestradea perspicax,Ectodini,24.08.14,Chimba,-8.426111111,30.45666667
IOI1,M,Lesper,Lestradea perspicax,Ectodini,24.08.14,Chimba,-8.426111111,30.45666667
IOH8,M,Lesper,Lestradea perspicax,Ectodini,24.08.14,Chimba,-8.426111111,30.45666667
IWG3,F,Lamsig,Lamprologus signatus,Lamprologini,28.08.14,Chimba,-8.426111111,30.45666667
IWD5,M,Lamsig,Lamprologus signatus,Lamprologini,28.08.14,Chimba,-8.426111111,30.45666667
IRA8,F,Simple,Pseudosimochromis babaulti (South),Tropheini,24.08.14,Chimba,-8.426111111,30.45666667
IRA2,F,Lesper,Lestradea perspicax,Ectodini,24.08.14,Chimba,-8.426111111,30.45666667
IRB5,NA,Julreg,Julidochromis sp. "regani south",Lamprologini,24.08.14,Chimba,-8.426111111,30.45666667
IRA6,F,Neofur,Neolamprologus furcifer,Lamprologini,24.08.14,Chimba,-8.426111111,30.45666667
IWD6,F,Lamsig,Lamprologus signatus,Lamprologini,28.08.14,Chimba,-8.426111111,30.45666667
IOI7,F,Lesper,Lestradea perspicax,Ectodini,24.08.14,Chimba,-8.426111111,30.45666667
IRD1,M,Juldic,Julidochromis dickfeldi,Lamprologini,24.08.14,Chimba,-8.426111111,30.45666667
IOI8,F,Lesper,Lestradea perspicax,Ectodini,24.08.14,Chimba,-8.426111111,30.45666667
