DNA Tube ID	Specimen ID	Extracted	Extracted By	Finclip Completely Used	Genome Sequenced (y/n)	on Scicore	second file	Species ID	Sex	Morph	Whole Specimen	Date (YYYY.MM.DD)	Standard Length (cm)	Total Length (cm)	Weight (g)	location
MQD8	S_MQD8							Lepelo	Juvenile			2017.08.01	7.8	9.3	7.5	Toby's Place
MQD9	S_MQD9							Lepelo	Juvenile			2017.08.01	6.3	7.7	4.6	Toby's Place
MQE1	S_MQE1							Lepelo	Juvenile			2017.08.01	8.0	9.7	10.0	Toby's Place
MQE2	S_MQE2							Lepelo	NA			2017.08.01	9.4	11.3	14.3	Toby's Place
MQE3	S_MQE3							Petfas	F			2017.08.01	7.4	9.0	13.2	Toby's Place
MQE4	S_MQE4							Petfas	F			2017.08.01	7.0	8.6	10.5	Toby's Place
MQE5	S_MQE5							Altcom	Juvenile			2017.08.01	6.0	7.1	5.8	Toby's Place
MQE6	S_MQE6							Ctehor	F			2017.08.01	7.2	8.6	9.3	Toby's Place
MQE7	S_MQE7							Ctehor	F			2017.08.01	8.3	9.9	11.2	Toby's Place
MQE8	S_MQE8							Ctehor	M			2017.08.01	6.3	7.8	6.2	Toby's Place
MQE9	S_MQE9							Ctehor	M			2017.08.01	8.7	10.6	14.7	Toby's Place
MQF1	S_MQF1							Ctehor	M			2017.08.01	10.0	12.1	21.7	Toby's Place
MQF2	S_MQF2							Lepelo	F			2017.08.01	7.4	9.2	8.5	Toby's Place
MQF3	S_MQF3							Neomod	M			2017.08.01	8.2	10.3	13.7	Toby's Place
MQF4	S_MQF4							Neomod	F			2017.08.01	7.5	9.2	10.6	Toby's Place
MQF5	S_MQF5							Neomod	Juvenile			2017.08.01	7.2	8.6	8.2	Toby's Place
MQF6	S_MQF6							Neomod	Juvenile			2017.08.01	6.4	8.0	4.5	Toby's Place
MQF7	S_MQF7							Simple	M			2017.08.01	6.9	8.3	10.2	Toby's Place
MQF8	S_MQF8							Simple	M			2017.08.01	7.3	8.8	12.2	Toby's Place
MQF9	S_MQF9							Simple	M			2017.08.01	6.7	8.3	9.2	Toby's Place
MQG1	S_MQG1							Simple	F			2017.08.01	6.4	7.7	7.9	Toby's Place
MQG2	S_MQG2							Simple	F			2017.08.01	5.8	7.1	6.2	Toby's Place
MQG3	S_MQG3							Cyafur	M			2017.08.01	11.4	15.1	38.6	Toby's Place
MQG4	S_MQG4							Petpol	F			2017.08.01	8.6	10.8	23.1	Toby's Place
MQG5	S_MQG5							Petpol	M			2017.08.01	9.7	12.0	29.3	Toby's Place
MQG6	S_MQG6							Permic	M			2017.08.01	7.7	9.6	8.4	Toby's Place
MQG7	S_MQG7							Permic	F			2017.08.01	7.5	9.3	8.0	Toby's Place
MQG8	S_MQG8							Permic	F			2017.08.01	6.6	8.4	5.6	Toby's Place
MQG9	S_MQG9							Permic	F			2017.08.01	6.8	8.6	6.0	Toby's Place
MQH1	S_MQH1							Permic	NA			2017.08.01	6.9	8.6	6.2	Toby's Place
MQH2	S_MQH2							Tylpol	NA			2017.08.01	5.9	7.4	4.8	Toby's Place
MQH3	S_MQH3							Lepelo	F			2017.08.02	13.4	16.2	45.5	Toby's Place
MQH4	S_MQH4							Cyplep	NA			2017.08.02	8.7	10.6	12.4	Toby's Place
MQH5	S_MQH5							Cyplep	M			2017.08.02	7.6	9.2	7.3	Toby's Place
MQH6	S_MQH6							Cyplep	M			2017.08.02	7.5	9.2	8.0	Toby's Place
MQH7	S_MQH7							Cyplep	M			2017.08.02	7.3	8.9	7.1	Toby's Place
MQH8	S_MQH8							Cyplep	M			2017.08.02	7.7	9.3	7.9	Toby's Place
MQH9	S_MQH9							Cyplep	M			2017.08.02	7.0	8.4	6.3	Toby's Place
MQI1	S_MQI1							Cyplep	M			2017.08.02	7.1	8.7	6.6	Toby's Place
MQI2	S_MQI2							Cyplep	M			2017.08.02	7.4	9.2	7.7	Toby's Place
MQI3	S_MQI3							Cyplep	M			2017.08.02	7.3	9.0	7.3	Toby's Place
MQI4	S_MQI4							Cyplep	F			2017.08.02	7.1	8.7	5.5	Toby's Place
MQI5	S_MQI5							Cyplep	F			2017.08.02	6.8	8.3	5.8	Toby's Place
MQI6	S_MQI6							Pethor	F			2017.08.02	8.1	10.0	17.8	Toby's Place
MQI7	S_MQI7							Lepelo	F			2017.08.02	9.2	11.1	14.9	Toby's Place
MQI8	S_MQI8							Altcom	M			2017.08.02	9.0	10.8	18.6	Toby's Place
MQI9	S_MQI9							Xenbou	M			2017.08.02	11.0	14.1	27.6	Toby's Place
RFA1	S_RFA1							Xenbou	M			2017.08.02	11.4	14.5	29.4	Toby's Place
RFA2	S_RFA2							Xenbou	M			2017.08.02	9.7	12.4	20.2	Toby's Place
RFA3	S_RFA3							Xenbou	F			2017.08.02	9.6	12.4	18.8	Toby's Place
RFA4	S_RFA4							Xenbou	F			2017.08.02	8.7	11.4	14.1	Toby's Place
RFA5	S_RFA5							Xenbou	F			2017.08.02	8.4	10.8	11.0	Toby's Place
RFA6	S_RFA6							Xenbou	F			2017.08.02	7.6	9.4	8.7	Toby's Place
RFA7	S_RFA7							Xenbou	F			2017.08.02	7.2	9.3	8.2	Toby's Place
RFA8	S_RFA8							Xenbou	M			2017.08.02	7.4	10.2	9.6	Toby's Place
RFA9	S_RFA9							Xenbou	F			2017.08.02	7.3	9.2	8.4	Toby's Place
RFB1	S_RFB1							Gwcbel	F			2017.08.02	14.4	18.0	68.6	Chipwa Fishermen
RFB2	S_RFB2							Batfas	M			2017.08.02	11.0	23.4	83.3	Chipwa Fishermen
RFB3	S_RFB3							Hemste	M			2017.08.02	13.0	16.4	39.7	Chipwa Fishermen
RFB4	S_RFB4							Hemste	F			2017.08.02	13.4	16.5	45.8	Chipwa Fishermen
RFB5	S_RFB5							Hemste	M			2017.08.02	12.8	15.7	42.3	Chipwa Fishermen
RFB6	S_RFB6							Hemste	M			2017.08.02	12.0	15.3	27.4	Chipwa Fishermen
RFB7	S_RFB7							Hemste	M			2017.08.02	12.9	16.1	42.2	Chipwa Fishermen
RFB8	S_RFB8							Hemste	M			2017.08.02	12.4	15.7	36.1	Chipwa Fishermen
RFB9	S_RFB9							Hemste	M			2017.08.02	12.4	15.6	37.6	Chipwa Fishermen
RFC1	S_RFC1							Hemste	F			2017.08.02	12.3	15.7	40.3	Chipwa Fishermen
RFC2	S_RFC2							Hemste	M			2017.08.02	14.4	16.8	47.6	Chipwa Fishermen
RFC3	S_RFC3							Benmel	F			2017.08.02	14.5	18.0	48.4	Chipwa Fishermen
RFC4	S_RFC4							Benmel	F			2017.08.02	15.3	19.2	61.9	Chipwa Fishermen
RFC5	S_RFC5							HemstZ	F			2017.08.02	16.7	21.0	90.0	Chipwa Fishermen
RFC6	S_RFC6							HemstZ	F			2017.08.02	16.7	20.9	88.3	Chipwa Fishermen
RFC7	S_RFC7							HemstZ	F			2017.08.02	16.5	20.9	94.3	Chipwa Fishermen
RFC8	S_RFC8							HemstZ	F			2017.08.02	20.5	25.5	165.3	Chipwa Fishermen
RFC9	S_RFC9							HemstZ	F			2017.08.02	18.6	23.9	130.3	Chipwa Fishermen
RFD1	S_RFD1							HemstZ	F			2017.08.02	19.9	24.7	145.4	Chipwa Fishermen
RFD2	S_RFD2							Batfas	M			2017.08.02	21.8	26.1	118.6	Chipwa Fishermen
RFD3	S_RFD3							HemstZ	F			2017.08.02	16.3	20.5	88.2	Chipwa Fishermen
RFD4	S_RFD4							Benmel	F			2017.08.02	13.8	17.1	46.4	Chipwa Fishermen
RFD5	S_RFD5							Benmel	F			2017.08.02	15.5	19.6	67.3	Chipwa Fishermen
RFD6	S_RFD6							Benmel	F			2017.08.02	14.3	18.0	52.2	Chipwa Fishermen
RFD7	S_RFD7							Benmel	F			2017.08.02	14.4	18.0	51.5	Chipwa Fishermen
RFD8	S_RFD8							Benmel	F			2017.08.02	13.9	17.5	47.7	Chipwa Fishermen
IXC9	S_IXC9	true	Fabrizia	false	false			HemstZ	M		S_IXC9	2014.07.27	16.4	20.3	90.0	Chipwa Fishermen
RFD9	S_RFD9							Batgra	M			2017.08.02	17.2	21.0	84.6	Chipwa Fishermen
RFE1	S_RFE1							Batgra	M			2017.08.02	20.2	25.0	137.7	Chipwa Fishermen
RFE2	S_RFE2							Batgra	M			2017.08.02	20.7	25.1	146.0	Chipwa Fishermen
RFE3	S_RFE3							Batgra	M			2017.08.02	19.0	23.5	128.6	Chipwa Fishermen
RFE4	S_RFE4							Batgra	M			2017.08.02	16.1	19.7	69.0	Chipwa Fishermen
RFE5	S_RFE5							Batgra	M			2017.08.02	14.0	17.2	48.2	Chipwa Fishermen
RFE6	S_RFE6							Batgra	F			2017.08.02	17.0	20.8	78.8	Chipwa Fishermen
RFE7	S_RFE7							Batgra	F			2017.08.02	16.6	20.3	74.1	Chipwa Fishermen
RFE8	S_RFE8							Batgra	F			2017.08.02	16.0	19.7	70.8	Chipwa Fishermen
RFE9	S_RFE9							Batgra	F			2017.08.02	15.1	18.3	49.8	Chipwa Fishermen
RFF1	S_RFF1							Cyafur	M			2017.08.02	10.8	14.2	33.7	Toby's Place
RFF2	S_RFF2							Cyafur	F			2017.08.02	10.8	14.0	29.9	Toby's Place
RFF3	S_RFF3							Petfas	F			2017.08.02	8.1	10.0	17.8	Toby's Place
RFF4	S_RFF4							Petfas	F			2017.08.02	8.4	10.4	22.7	Toby's Place
RFF5	S_RFF5							Petfas	M			2017.08.02	8.0	9.8	16.8	Toby's Place
RFF6	S_RFF6							Petfas	M			2017.08.02	7.8	9.3	14.6	Toby's Place
RFF7	S_RFF7							Petfas	F			2017.08.02	7.6	9.4	15.2	Toby's Place
RFF8	S_RFF8							Petfas	M			2017.08.02	7.5	9.1	13.5	Toby's Place
RFF9	S_RFF9							Petfas	NA			2017.08.02	7.8	9.5	15.8	Toby's Place
RFG1	S_RFG1							Petfas	M			2017.08.02	7.3	9.1	13.1	Toby's Place
RFG2	S_RFG2							Petfas	F			2017.08.02	7.4	9.0	13.3	Toby's Place
RFG3	S_RFG3							Petpol	M			2017.08.02	8.7	10.9	27.2	Toby's Place
RFG4	S_RFG4							Petpol	M			2017.08.02	8.7	11.0	23.2	Toby's Place
RFG5	S_RFG5							Petpol	M			2017.08.02	7.0	9.1	12.5	Toby's Place
RFG6	S_RFG6							Petpol	M			2017.08.02	7.9	9.7	16.1	Toby's Place
RFG7	S_RFG7							Petpol	F			2017.08.02	10.9	13.7	30.8	Toby's Place
RFG8	S_RFG8							Petpol	M			2017.08.02	10.5	13.2	42.1	Toby's Place
RFG9	S_RFG9							Petpol	F			2017.08.02	12.0	15.0	61.7	Toby's Place
RFH1	S_RFH1							Petpol	M			2017.08.02	10.5	13.4	42.3	Toby's Place
RFH2	S_RFH2							Petpol	F			2017.08.02	11.6	14.3	51.9	Toby's Place
RFH3	S_RFH3							Petpol	F			2017.08.02	13.6	16.8	78.1	Toby's Place
RFH4	S_RFH4							Petpol	M			2017.08.02	15.8	20.0	130.2	Toby's Place
RFH5	S_RFH5							Asplep	F			2017.08.03	7.2	10.0	6.3	Toby's Place
RFH6	S_RFH6							Asplep	M			2017.08.03	7.4	9.5	5.1	Toby's Place
RFH7	S_RFH7							Cyplep	F			2017.08.03	8.2	10.0	7.7	Toby's Place
RFH8	S_RFH8							Cyplep	F			2017.08.03	7.0	8.6	5.5	Toby's Place
RFH9	S_RFH9							Cyplep	F			2017.08.03	8.1	10.0	7.8	Toby's Place
RFI1	S_RFI1							Cyplep	F			2017.08.03	7.2	8.8	5.9	Toby's Place
RFI2	S_RFI2							Cyplep	F			2017.08.03	6.8	8.3	4.6	Toby's Place
RFI3	S_RFI3							Lepelo	F			2017.08.03	9.6	11.5	15.9	Toby's Place
LNC9	S_LNC9							Gnaper	M			2016.08.22	13.7	17.1	54.9	Toby's Place
RFI4	S_RFI4							Altcom	F			2017.08.03	5.9	7.0	5.4	Toby's Place
RFI5	S_RFI5							Batleo	M			2017.08.03	21.2	25.7	112.1	Chipwa Fishermen
RFI6	S_RFI6							Batleo	M			2017.08.03	17.5	21.6	71.9	Chipwa Fishermen
RFI7	S_RFI7							Batleo	Juvenile			2017.08.03	21.2	26.1	118.6	Chipwa Fishermen
RFI8	S_RFI8							Batleo	Juvenile			2017.08.03	18.2	22.3	78.6	Chipwa Fishermen
RFI9	S_RFI9							Batleo	Juvenile			2017.08.03	17.4	21.1	68.0	Chipwa Fishermen
RGA1	S_RGA1							Batleo	M			2017.08.03	20.4	24.7	105.6	Chipwa Fishermen
RGA2	S_RGA2							Batleo	M			2017.08.03	17.4	21.4	70.7	Chipwa Fishermen
RGA3	S_RGA3							Batleo	M			2017.08.03	20.4	24.8	104.1	Chipwa Fishermen
RGA4	S_RGA4							Batleo	NA			2017.08.03	17.8	21.7	74.7	Chipwa Fishermen
RGA5	S_RGA5							Batleo	M			2017.08.03	22.4	27.5	155.1	Chipwa Fishermen
RGA6	S_RGA6							Batgra	M			2017.08.03	14.4	17.8	49.1	Chipwa Fishermen
RGA7	S_RGA7							Batgra	M			2017.08.03	13.6	17.0	42.7	Chipwa Fishermen
RGA8	S_RGA8							Batgra	F			2017.08.03	13.4	16.7	41.5	Chipwa Fishermen
RGA9	S_RGA9							Gwcbel	F			2017.08.03	12.5	15.7	57.7	Chipwa Fishermen
RGB1	S_RGB1							HemstZ	F			2017.08.03	16.9	21.1	91.2	Chipwa Fishermen
RGB2	S_RGB2							HemstZ	F			2017.08.03	17.9	22.5	115.7	Chipwa Fishermen
RGB3	S_RGB3							Benmel	M			2017.08.03	15.2	19.0	60.9	Chipwa Fishermen
RGB4	S_RGB4							Benmel	F			2017.08.03	14.1	17.7	47.4	Chipwa Fishermen
RGB5	S_RGB5							Benmel	F			2017.08.03	14.5	18.0	55.0	Chipwa Fishermen
RGB6	S_RGB6							Benmel	F			2017.08.03	14.3	18.0	48.6	Chipwa Fishermen
RGB7	S_RGB7							Benmel	F			2017.08.03	15.4	19.2	46.6	Chipwa Fishermen
RGB8	S_RGB8							Benmel	NA			2017.08.03	13.8	17.2	46.3	Chipwa Fishermen
RGB9	S_RGB9							Cunlon	M			2017.08.03	9.7	12.3	23.0	Toby's Place
RGC1	S_RGC1							Cunlon	M			2017.08.03	10.0	12.8	21.3	Toby's Place
RGC2	S_RGC2							Cunlon	M			2017.08.03	9.7	12.4	21.8	Toby's Place
RGC3	S_RGC3							Cunlon	M			2017.08.03	9.4	12.2	23.1	Toby's Place
RGC4	S_RGC4							Cunlon	F			2017.08.03	8.8	11.1	17.0	Toby's Place
RGC5	S_RGC5							Cunlon	M			2017.08.03	8.7	12.5	23.2	Toby's Place
RGC6	S_RGC6							Cunlon	M			2017.08.03	10.0	12.8	21.5	Toby's Place
RGC7	S_RGC7							Cunlon	F			2017.08.03	7.8	10.0	12.7	Toby's Place
RGC8	S_RGC8							Cunlon	NA			2017.08.03	7.8	10.0	12.7	Toby's Place
RGC9	S_RGC9							Cunlon	M			2017.08.03	8.5	11.1	16.2	Toby's Place
RGD1	S_RGD1							Calmac	M			2017.08.03	7.5	9.7	12.0	Toby's Place
RGD2	S_RGD2							Altcom	M			2017.08.03	5.8	7.0	5.1	Toby's Place
RGD3	S_RGD3							Altcom	F			2017.08.03	6.1	7.3	6.2	Toby's Place
RGD4	S_RGD4							Altcom	F			2017.08.03	7.0	8.3	8.1	Toby's Place
RGD5	S_RGD5							Altcom	M			2017.08.03	7.0	8.3	8.1	Toby's Place
RGD6	S_RGD6							Altcom	M			2017.08.03	7.0	8.3	9.3	Toby's Place
RGD7	S_RGD7							Altcom	F			2017.08.03	8.0	9.5	12.5	Toby's Place
RGD8	S_RGD8							Altcom	M			2017.08.03	8.6	10.3	16.1	Toby's Place
RGD9	S_RGD9							Cyafur	M			2017.08.03	11.4	15.7	32.7	Toby's Place
RGE1	S_RGE1							Cyafur	Juvenile			2017.08.03	9.8	12.8	26.9	Toby's Place
RGE2	S_RGE2							Cyafur	F			2017.08.03	9.6	12.3	24.1	Toby's Place
RGE3	S_RGE3							Cyafur	F			2017.08.03	9.4	12.1	22.0	Toby's Place
RGE4	S_RGE4							Calmac	M			2017.08.03	8.3	10.6	15.0	Toby's Place
RGE5	S_RGE5							Calmac	M			2017.08.03	8.1	10.4	13.9	Toby's Place
RGE6	S_RGE6							Calmac	M			2017.08.03	7.9	10.1	12.9	Toby's Place
RGE7	S_RGE7							Calmac	M			2017.08.03	8.1	10.4	15.6	Toby's Place
RGE8	S_RGE8							Calmac	F			2017.08.03	7.9	10.2	13.1	Toby's Place
RGE9	S_RGE9							Calmac	F			2017.08.04	7.4	9.5	11.3	Toby's Place
RGF1	S_RGF1							Calmac	F			2017.08.04	7.2	9.4	11.8	Toby's Place
RGF2	S_RGF2							Batfas	M			2017.08.04	27.2	32.8	253.4	Chipwa Fishermen
RGF3	S_RGF3	true	Milan	true	false			Batfas	M			2017.08.04	19.4	23.1	78.3	Chipwa Fishermen
RGF4	S_RGF4							Batfas	M			2017.08.04	19.1	22.9	81.7	Toby's Place
RGF5	S_RGF5							Cyafur	M			2017.08.04	11.4	16.0	34.3	Toby's Place
RGF6	S_RGF6							Cyafur	M			2017.08.04	10.6	15.2	28.0	Toby's Place
RGF7	S_RGF7							Cyafur	M			2017.08.04	9.6	12.2	19.4	Toby's Place
RGF8	S_RGF8							Calmac	M			2017.08.04	9.8	12.5	22.1	Toby's Place
RGF9	S_RGF9							Calmac	M			2017.08.04	8.3	10.9	15.0	Toby's Place
LNC8	S_LNC8							Ctehor	M			2016.08.22	9.9	11.7	24.0	Toby's Place
RGG1	S_RGG1							Julorn	M			2017.08.04	5.8	7.0	3.5	Toby's Place
RGG2	S_RGG2							Julorn	M			2017.08.04	5.5	6.7	3.0	Toby's Place
RGG3	S_RGG3							Julorn	M			2017.08.04	5.7	6.8	3.3	Toby's Place
RGG4	S_RGG4							Julorn	M			2017.08.04	6.7	8.0	5.2	Toby's Place
RGG5	S_RGG5							Julorn	M			2017.08.04	7.1	8.6	6.2	Toby's Place
RGG6	S_RGG6							Julorn	M			2017.08.04	6.5	8.0	5.4	Toby's Place
RGG7	S_RGG7							Julorn	M			2017.08.04	7.0	8.6	5.5	Toby's Place
RGG8	S_RGG8							Julorn	F			2017.08.04	7.8	9.4	7.1	Toby's Place
RGG9	S_RGG9							Julorn	F			2017.08.04	6.9	8.4	6.1	Toby's Place
RGH1	S_RGH1							Julorn	M			2017.08.04	7.9	9.7	9.5	Toby's Place
RGH2	S_RGH2							Petfas	F			2017.08.04	7.8	9.5	15.4	Toby's Place
RGH3	S_RGH3							Petpol	M			2017.08.04	11.1	13.7	41.9	Toby's Place
RGH4	S_RGH4							Asplep	M			2017.08.05	7.6	10.1	6.8	Toby's Place
RGH5	S_RGH5							Asplep	F			2017.08.05	7.8	10.2	6.1	Toby's Place
RGH6	S_RGH6							Asplep	M			2017.08.05	7.8	10.2	6.0	Toby's Place
RGH7	S_RGH7							Asplep	F			2017.08.05	7.6	9.9	6.2	Toby's Place
RGH8	S_RGH8							Asplep	F			2017.08.05	7.6	9.9	6.2	Toby's Place
RGH9	S_RGH9							Asplep	M			2017.08.05	8.3	10.6	7.4	Toby's Place
RGI1	S_RGI1							Asplep	M			2017.08.05	7.9	10.4	6.9	Toby's Place
RGI2	S_RGI2							Asplep	M			2017.08.05	7.7	10.0	6.2	Toby's Place
RGI3	S_RGI3							Asplep	NA			2017.08.05	7.7	10.0	6.6	Toby's Place
RGI4	S_RGI4							Asplep	F			2017.08.05	7.2	9.4	5.7	Toby's Place
RGI5	S_RGI5							Asplep	F			2017.08.05	7.4	9.5	5.5	Toby's Place
JBA7	S_JBA7							Telbra	M		S_JBA7	2014.08.30	6.1	7.4	5.1	Kabyolwe
RGI6	S_RGI6							Asplep	F			2017.08.05	6.8	8.7	4.5	Toby's Place
RGI7	S_RGI7							Asplep	M			2017.08.05	7.0	9.0	4.1	Toby's Place
RGI8	S_RGI8							Asplep	M			2017.08.05	7.1	9.2	5.0	Toby's Place
RGI9	S_RGI9							Asplep	F			2017.08.05	6.4	8.1	3.6	Toby's Place
RHA1	S_RHA1							Xenspi	M			2017.08.05	7.3	9.3	7.7	Toby's Place
RHA2	S_RHA2							Xenspi	F			2017.08.05	7.1	9.2	7.2	Toby's Place
RHA3	S_RHA3							Xenspi	M			2017.08.05	7.5	9.7	8.0	Toby's Place
RHA4	S_RHA4							Xenspi	F			2017.08.05	6.8	8.7	6.5	Toby's Place
RHA5	S_RHA5							Xenspi	NA			2017.08.05	6.4	8.4	5.7	Toby's Place
RHA6	S_RHA6							Xenspi	F			2017.08.05	5.7	7.3	4.4	Toby's Place
RHA7	S_RHA7							Xenspi	F			2017.08.05	6.2	8.1	5.1	Toby's Place
RHA8	S_RHA8							Xenspi	M			2017.08.05	6.4	8.5	5.1	Toby's Place
RHA9	S_RHA9							Xenspi	F			2017.08.05	5.9	7.8	4.7	Toby's Place
RHB1	S_RHB1							Xenspi	F			2017.08.05	6.5	8.2	5.1	Toby's Place
RHB2	S_RHB2							Lepelo	F			2017.08.05	9.9	11.7	17.6	Toby's Place
RHB3	S_RHB3							Lepelo	M			2017.08.05	9.4	11.3	15.7	Toby's Place
RHB4	S_RHB4							Lepelo	M			2017.08.05	10.2	12.3	21.3	Toby's Place
RHB5	S_RHB5							Loblab	F			2017.08.05	8.5	10.1	18.9	Toby's Place
RHB6	S_RHB6							Altcom	NA			2017.08.05	6.4	7.5	6.3	Toby's Place
MPC3	S_MPC3							Telbra	M?			2016.09.08	6.3	7.5	7.2	Katete 2
RHB7	S_RHB7							Loblab	M			2017.08.05	9.9	11.9	30.3	Toby's Place
RHB8	S_RHB8							Loblab	M			2017.08.05	10.9	13.1	37.9	Toby's Place
RHB9	S_RHB9							Loblab	F			2017.08.05	12.5	15.2	67.4	Toby's Place
RHC1	S_RHC1							Lamlem	F			2017.08.05	7.2	8.8	9.3	Toby's Place
RHC2	S_RHC2							Lamlem	M			2017.08.05	6.6	8.0	6.8	Toby's Place
RHC3	S_RHC3							Lamlem	NA			2017.08.05	7.2	8.7	8.2	Toby's Place
RHC4	S_RHC4							Lamlem	F			2017.08.05	7.8	9.5	12.2	Toby's Place
RHC5	S_RHC5							Lamlem	M			2017.08.05	8.2	10.1	13.1	Toby's Place
RHC6	S_RHC6							Lamlem	M			2017.08.05	7.8	9.4	10.9	Toby's Place
RHC7	S_RHC7							Lamlem	M			2017.08.05	9.1	11.0	19.5	Toby's Place
RHC8	S_RHC8							Lamlem	M			2017.08.05	10.8	13.2	30.4	Toby's Place
RHC9	S_RHC9							Psccur	M			2017.08.05	7.9	9.7	15.9	Toby's Place
IXB5	S_IXB5	true	Fabrizia	false	true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IXB5_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IXB5_B	Gwcbel	F			2014.07.27	14.3	17.1	54.7	Chipwa Fishermen
RHD1	S_RHD1							Petfas	F			2017.08.05	9.2	11.3	28.2	Toby's Place
RHD2	S_RHD2							Altcom	M			2017.08.05	8.2	9.7	14.2	Toby's Place
RHD3	S_RHD3							Altcom	F			2017.08.05	5.7	6.7	4.4	Toby's Place
IOA7	S_IOA7							Neobue	NA		S_IOA7	2014.08.23	4.8	6.1	2.0	Kachese
RHD4	S_RHD4							Hapmic	Juvenile			2017.08.05	9.3	12.0	17.4	Toby's Place
RHD5	S_RHD5							Hapmic	Juvenile			2017.08.05	9.9	12.3	18.6	Toby's Place
RHD6	S_RHD6							Hapmic	Juvenile			2017.08.05	10.3	13.2	22.1	Toby's Place
RHD7	S_RHD7							Hapmic	Juvenile			2017.08.05	10.4	13.8	22.1	Toby's Place
RHD8	S_RHD8							Hapmic	Juvenile			2017.08.05	9.3	12.0	18.0	Toby's Place
RHD9	S_RHD9							Hapmic	Juvenile			2017.08.05	9.7	12.6	16.8	Toby's Place
RHE1	S_RHE1							Hapmic	Juvenile			2017.08.05	8.5	11.0	12.3	Toby's Place
RHE2	S_RHE2							Hapmic	Juvenile			2017.08.05	8.4	11.0	13.4	Toby's Place
RHE3	S_RHE3							HemstZ	F			2017.08.05	21.7	27.5	125.4	Chipwa Fishermen
RHE4	S_RHE4							HemstZ	F			2017.08.05	20.7	25.6	169.7	Chipwa Fishermen
RHE5	S_RHE5							HemstZ	F			2017.08.05	20.0	25.1	154.4	Chipwa Fishermen
RHE6	S_RHE6							Batleo	M			2017.08.05	18.2	22.4	76.1	Chipwa Fishermen
RHE7	S_RHE7							Batleo	M			2017.08.05	16.5	20.4	55.4	Chipwa Fishermen
RHE8	S_RHE8							Batfas	M			2017.08.05	18.8	22.1	77.0	Chipwa Fishermen
RHE9	S_RHE9							Batfas	M			2017.08.05	18.4	22.1	71.5	Chipwa Fishermen
RHF1	S_RHF1							Julorn	F			2017.08.05	5.7	7.1	4.0	Chipwa Fishermen
RHF2	S_RHF2							Gwcbel	M			2017.08.06	13.9	17.3	73.3	Chipwa Fishermen
