id	dN	dS	dNdS	bp
GPF9	142.7301	724.3488	0.197046091606696	12942211
GPH1	146.9431	753.8455	0.194924689475496	13955302
GPH2	146.2676	747.9408	0.195560397293476	13800522
GPH7	132.0336	674.3995	0.195779504581483	12853059
HFG1287	146.7751	747.5971	0.196329145739062	13827217
ILA7	149.832	763.5177	0.196239065577655	13673056
ILB4	143.7204	746.1385	0.192618930667698	13288177
ILB6	149.0569	762.0615	0.195596943291322	13326718
ILB7	148.5167	755.272	0.196640018430446	13228000
ILC1	154.5627	791.0686	0.195384698621586	13401999
ILD3	151.1049	775.8594	0.194758096634519	12918303
ILD9	146.6805	748.9711	0.195842670030926	13667160
ILE5	141.5684	730.2764	0.193855915376698	12377096
ILE6	144.5573	733.0925	0.197188349355641	13176966
ILF7	126.9583	659.5471	0.192493151740035	12662982
ILF8	130.0857	652.2402	0.199444468464225	13208406
ILG3	132.1659	657.0753	0.201142700083232	13380919
ILG7	128.2863	663.1545	0.193448585510616	12928150
ILH1	145.1257	754.7395	0.19228581517199	13087197
IMA1	146.0809	741.1379	0.197103534983166	13688279
IMA2	146.0744	743.2134	0.196544357246519	13636172
IMB3	148.1694	746.9586	0.198363604087295	12957326
IMB4	147.9629	766.9082	0.192934304262231	13421694
IMD1	153.4532	778.4736	0.197120621688391	13971295
IMD2	148.9591	753.6571	0.197648373510977	12902866
IMF7	143.045	721.3179	0.198310620047	13382401
IMF8	142.6141	718.2846	0.198548179927566	13463050
IMG9	146.6893	752.1164	0.195035369525249	13189610
IMH3	148.584	776.1665	0.191433152551675	13730800
INA6	146.1483	744.0341	0.196426884197915	13528164
INC7	151.7746	784.5831	0.193446175427434	13764476
IND7	142.7827	731.035	0.195315819352015	12855473
IND8	140.4286	721.9768	0.194505696027906	12660505
INE8	131.0031	665.5562	0.196832513918434	13782969
INE9	129.4015	659.0418	0.196347940297565	13396607
INF1	144.6801	736.2916	0.196498371025827	13418761
INF2	145.2994	738.8048	0.196668186238097	13529181
INH1	137.6014	697.0199	0.197413875844865	13547541
INH7	122.868	630.4398	0.194892517889892	13479583
INH9	124.5995	637.768	0.195368064876256	13648701
IOD4	146.1075	750.1894	0.194760816401831	13259699
IOD6	143.317	735.7377	0.194793606471437	12850221
IOD9	132.9646	683.9982	0.194393201619536	13489663
IOE1	129.8989	668.9288	0.19418942643821	12606643
IOE2	147.5672	752.0459	0.196221001936185	13204095
IOE3	150.6606	768.8469	0.195956568206232	13562196
IOH4	147.8579	754.4505	0.195980915911647	13422308
IOH5	150.0926	782.2839	0.191864615902232	13964545
IPB6	135.3992	695.302	0.194734374415722	13418595
IPC1	136.1625	694.1971	0.196143861736098	13683209
IPD6	149.6679	758.2393	0.197388739940016	13384728
IPE3	144.7231	734.2172	0.19711210797023	13315721
IPE7	144.1431	733.1307	0.196613100501725	13364187
IPF3	135.0727	695.5423	0.194197678559593	13367387
IPF7	149.3071	763.5009	0.195555892599472	13490862
IPG3	151.4012	772.102	0.196089635825318	13833675
IPH2	155.7668	796.2807	0.195617952312545	13765932
IQA3	152.8937	781.8863	0.195544671904342	13851970
IQA4	148.6999	764.9779	0.194384569802605	12946362
IQB6	126.2936	647.1076	0.19516630619081	12878527
IQB8	131.2457	668.424	0.196350968846122	13797122
IQB9	134.1728	687.5301	0.195151892258972	12897250
IQC1	134.1011	686.8667	0.195235989748812	12908940
IQC4	130.9836	665.9329	0.196691888927548	13516776
IQD3	143.9222	738.6812	0.194836690036243	12656432
IQE4	147.1569	753.588	0.195275004379051	13305223
IQI4	130.0111	666.4776	0.195071972411376	13296670
IRA1	145.2577	751.6649	0.193247948653715	12963344
IRA2	143.2205	735.5963	0.194699864586051	12880448
IRB2	146.2744	745.7979	0.196131418444595	13502388
IRB8	143.7202	729.3122	0.197062657117213	13059883
IRC4	148.1453	769.2537	0.192583149096325	13880750
IRC5	147.8336	768.1583	0.19245199850083	13775209
IRD7	147.5623	760.269	0.194092222621204	13560506
IRD8	146.3308	761.6763	0.192116782417938	13314362
IRD9	142.4449	718.3039	0.198307290270873	12143653
IRE3	145.9963	735.8154	0.198414303370112	12748908
IRF8	147.3498	748.6973	0.196808242797189	13025637
IRH2	147.3017	747.2346	0.197129121162216	12778298
IRH4	147.4722	744.2662	0.198144427356771	12860798
IRI8	150.2959	770.6079	0.195035503788632	13398254
IRI9	149.2374	760.7129	0.196180977080841	13544663
ISA3	148.7657	768.3323	0.193621561920539	12348022
ISA6	146.8665	750.8685	0.195595500410525	13655152
ISA8	146.1865	744.8803	0.196255022451258	13597197
ISB1	148.5565	752.0589	0.197533065561753	13158928
ISB3	148.2299	755.978	0.196077002240806	13835166
ISB7	145.4514	740.5528	0.196409222948046	13452453
ISC1	145.5603	740.7394	0.196506760677237	13510151
ISC9	149.9044	764.8628	0.195988613905657	13656197
ISD8	135.2033	693.4453	0.194973273306489	13671159
ISE5	133.8746	691.5487	0.193586655574654	13410229
ISI2	135.3409	693.846	0.195058990035253	13161513
ISI6	133.9461	682.201	0.196344039366697	12685745
ITA4	128.1207	652.8197	0.196257404609573	13474195
ITA6	127.002	651.6068	0.194905884960071	13867982
ITB1	126.231	648.7966	0.194561747086837	13360835
ITB3	124.692	638.9981	0.195136730453502	13055461
ITB4	127.3317	654.9746	0.194407080824203	13630378
ITC2	126.6311	648.6511	0.195222208056072	13576248
ITD7	124.3214	650.4803	0.191122467505934	12304910
ITG2	147.6025	755.0591	0.195484697820343	13476982
ITH3	128.6689	667.8746	0.192654279710592	13043726
IUD8	144.3013	736.8585	0.19583312128448	12267917
IUD9	144.8336	744.8157	0.194455621706148	12473280
IUE5	151.2303	781.2575	0.193572925699913	12336935
IUF7	143.6873	726.7789	0.197704281178224	13331370
IUF8	141.7949	720.4457	0.196815526832904	13069137
IUI1	130.3437	661.3851	0.197076861876689	13063316
IUI4	131.0314	667.5972	0.196273141948468	13518400
IUI5	127.3155	646.3092	0.196988531186002	13203710
IUI7	128.9342	661.1513	0.19501466608324	13434986
IUI8	129.162	667.1216	0.193610879935532	12995538
IVB4	144.9654	738.4228	0.196317610994677	13448023
IVB5	143.8011	737.4722	0.194991892575747	13345127
IVE8	146.7894	742.7052	0.197641540681282	13526775
IVF1	146.7321	757.6226	0.193674396724702	13604554
IVF4	142.6301	729.4526	0.19553031958485	13435728
IVF5	142.6748	724.2438	0.196998303609917	12909330
IVH1	141.1273	723.6889	0.195011005419594	12944582
IVH2	139.8959	715.7268	0.195459915710855	12558140
IWB5	135.1406	694.4402	0.19460365341753	13526552
IWB6	133.1967	685.8023	0.194220258520568	13543988
IWC9	134.825	693.0585	0.194536247661633	13828150
IWD4	132.9373	678.6108	0.195896233894303	13059117
IWD5	150.8976	762.0298	0.198020602343898	13186433
IWD6	153.8151	775.9898	0.198217940493548	13723305
IWD7	146.278	745.6469	0.196175964789768	13032728
IWD8	142.9802	731.1608	0.19555233267429	12594443
IXA3	131.9806	694.0554	0.190158595408954	12310059
IXA4	128.1874	655.8649	0.19544787348736	13415355
IXA5	132.1544	672.0822	0.196634280747206	13001013
IXA6	134.5056	697.6112	0.192808831050878	12555567
IXB5	127.4109	650.7416	0.195793384040608	13779436
IXB6	122.8557	630.1804	0.19495322291839	12823358
IXB8	132.7689	663.6721	0.20005195336673	13528552
IXB9	137.1581	690.1612	0.19873342633576	12571446
IXC1	142.1355	718.8916	0.197714787598019	13576953
IXC2	126.8115	656.3398	0.193210132922002	12999121
IXC3	126.0434	651.4834	0.19347139159647	12873205
IXF4	143.2877	726.8609	0.197132216081509	13583401
IYA4	146.3374	758.7276	0.192872119058276	13467397
IYA5	131.6508	677.7514	0.194246444935414	12791098
IYA6	131.8322	677.4616	0.194597302636784	12695411
IYA7	133.3345	684.1435	0.194892591978145	13236329
IYA8	126.491	645.0398	0.196097977210088	13597275
IZA2	132.5668	659.5783	0.200987206522713	13493554
IZA5	127.3794	659.2442	0.193220357494234	13423285
IZA8	130.4058	662.7584	0.196762198713739	13773549
IZA9	129.1837	659.6137	0.195847508928332	13504635
IZB2	130.0793	664.3336	0.195804186330482	13842512
IZC7	143.8728	725.5197	0.198303092252354	13544007
IZE4	127.2908	651.4933	0.195383129803484	13737171
IZF1	126.8425	647.3199	0.195950255816328	13534780
IZH7	141.4268	717.4954	0.197111786361278	13547613
IZI3	140.2729	716.529	0.1957672334267	13529071
IZI7	147.6664	748.6351	0.197247497479079	13092495
IZI8	148.1112	756.797	0.195707963958631	13398305
JAB1	150.5934	777.2183	0.193759462431597	12942231
JAB7	129.7759	657.971	0.197236504344416	13131742
JAE1	131.9305	674.7647	0.195520749677628	12611449
JAE7	114.4127	607.9356	0.188198717100956	13630600
JAE9	129.8445	658.33	0.197233150547598	13472675
JAF5	124.2672	636.988	0.195085621707159	12879940
JAF7	144.6879	743.82	0.194520045172219	13715755
JAF9	143.9369	740.9242	0.194266700966172	13706146
JAH7	129.1732	661.046	0.195407278767287	13487430
JBD5	151.9843	763.7205	0.199005133422502	13738447
JBD6	151.5563	768.8622	0.197117636944566	13948317
JBE6	143.5493	731.3576	0.19627785367924	12962281
JBE7	145.6643	740.0234	0.196837424330095	13560251
JBE8	148.8834	751.1769	0.198200184270842	13336164
JBE9	150.9745	779.7409	0.19362136832889	13774265
JBG3	132.5593	681.9054	0.194395439602033	13170124
JBH4	133.2526	687.9146	0.193705148865862	13284566
JBH5	130.0703	670.5666	0.19397074056477	12540289
JCF2	113.6506	609.2239	0.186549805416367	13719438
JDD7	141.0484	721.7567	0.195423748750791	13705737
JDD8	141.1153	725.2583	0.194572471628384	13408917
JDE3	128.3979	665.5743	0.192912947510143	12798178
JDE6	126.9669	662.4408	0.19166527786332	12709879
JDE7	125.7172	651.3053	0.193023456127257	12397722
JDF3	150.5368	771.871	0.195028443872098	13284714
JDF4	152.4394	780.6392	0.195275102761942	13805195
JDF5	153.8727	774.3973	0.19869994381437	13766283
JDG4	151.0151	761.3809	0.198343693675531	13273836
JDI1	149.7675	754.123	0.198598239279269	12839980
JDI2	153.4393	773.1774	0.198452903563917	13663984
JDI4	129.6842	658.401	0.196968412866931	13480215
JEB2	134.6837	683.7193	0.196986833631872	13060639
JEB4	136.7425	690.4353	0.198052590879985	13082677
JEC7	138.0763	702.0898	0.196664728642974	13666804
JED2	137.1709	698.8608	0.196277856763464	13601929
JED4	146.7777	738.2886	0.198808027104848	13061285
JED5	150.7784	760.0355	0.198383364987557	13891226
JEG5	128.927	662.3257	0.194658005872337	13077970
JEG6	130.0263	664.8673	0.195567295910026	13258774
JEI4	145.7998	742.3377	0.196406298642787	13579270
JEI5	146.7057	745.7577	0.19672032886821	13753221
JEI6	147.8982	755.6609	0.195720329052357	13993969
JEI8	148.3511	754.5957	0.196596800114286	14030302
JUA3	137.3874	706.4726	0.194469537813639	13264641
JUA4	140.1128	716.9111	0.195439574028077	13741707
JUB6	139.8444	720.814	0.194008995385772	13289871
JUB7	138.3805	711.7004	0.194436451068455	12797645
JUD4	149.3402	752.2394	0.198527490051704	13345262
JUD5	151.5718	767.2279	0.197557726980471	13795867
JUH9	146.6582	747.3935	0.196226218183594	13664614
JUI1	146.4568	747.1449	0.196021949691419	13465823
JVB4	147.7188	758.4799	0.194756380492087	13639345
JVB8	148.9655	761.7207	0.195564463457538	13738976
JVC3	134.9285	697.0911	0.19355934970336	13873231
JVC9	133.3627	689.0978	0.193532325890461	13483966
JVE1	134.2945	685.3514	0.195949844123759	12853834
JVF2	136.4374	692.3469	0.197065083991854	13252662
JVH2	146.0039	755.1301	0.193349331459572	13384691
JVH3	143.1226	734.3655	0.194892870103511	12659669
JVH4	145.5975	738.9266	0.197039191714035	13300461
JVI5	144.9213	740.0793	0.195818610248929	13345583
JVI9	148.8382	759.8908	0.195867879963805	13446628
JWA1	147.239	750.0932	0.196294273831572	13968834
JWA2	147.6137	751.2282	0.196496484024428	14028677
JWA3	152.8953	770.5354	0.198427353240357	13675331
JWA4	152.0185	763.8219	0.199023489638095	13540696
JWA5	148.9381	755.3534	0.19717671225151	13849465
JWA6	149.3695	758.6258	0.196894832735718	13918182
JWA7	145.1807	737.3271	0.196901348126225	13605725
JWA9	152.3098	768.9604	0.198072358472556	12281934
JWC8	150.2565	764.6187	0.196511673073128	13636195
JWC9	150.141	760.1672	0.197510495059508	13836785
JWD1	136.6487	687.0148	0.198902119721438	13765124
JWD2	135.9015	687.5946	0.197647712765633	13689243
JWG4	135.4938	697.6781	0.194206755235688	13976952
JWG5	133.5557	687.2961	0.194320468281429	13273439
JWG8	142.2055	730.9448	0.194550258788352	12702975
JWG9	148.3857	768.2297	0.193152777092581	13945482
JWH1	145.5843	757.3786	0.192221301209197	13615084
JWH2	147.3065	767.8198	0.191850353429281	13921212
JWH3	147.383	749.174	0.196727329031707	13618263
JWH4	146.4755	743.444	0.197022909593729	13550353
JWH5	145.1812	741.2896	0.195849503351996	13444980
JWH6	147.3984	748.1294	0.197022600635665	13716597
JWH9	144.9904	743.4039	0.19503583449051	13749125
JWI2	144.9526	751.3409	0.19292520878339	13549820
JWI3	145.2647	738.8856	0.196599717195734	13759273
JWI6	144.8435	753.0485	0.192342857066975	13607940
JXA4	148.0942	766.4292	0.19322619754049	13304796
JXB5	146.7936	747.9674	0.196256681775168	13821430
JXC1	146.3173	743.908	0.196687359189577	13713074
JXD4	146.9385	752.9652	0.195146468920476	13683307
JXD7	145.2083	745.1362	0.194874843015277	13615202
JXE9	139.4718	725.0489	0.192361922071739	13539766
JXF4	138.9385	720.2484	0.192903587151322	13125488
JXG8	154.1348	777.6315	0.198210592034916	13824317
JXH2	154.4866	782.2993	0.197477615025349	13860971
JXH5	135.9384	700.1721	0.194149981126069	13818171
JXI2	137.2049	695.9728	0.197141181379502	13459554
JXI4	135.4405	689.2938	0.196491684677854	12941246
JYF7	146.866	755.6994	0.194344470830597	13512942
JYG5	144.5168	744.3279	0.19415744055812	13110319
JYH3	139.757	721.9337	0.193587028836582	13394569
JYH7	140.1191	719.298	0.194799790907246	13256460
JYI8	134.3314	689.3963	0.194853671248308	13406009
JZA3	132.2999	680.4963	0.194416780811299	13022375
JZB7	139.0453	715.4876	0.194336421763284	12923333
JZD3	140.534	722.1337	0.194609391584965	13485374
JZD5	148.2998	758.6632	0.195475146283621	13536948
JZD6	148.7009	765.4128	0.194275428892749	13700187
JZE2	145.0508	755.0102	0.192117669403672	12861271
JZE4	147.8787	764.0272	0.193551617010494	13386883
JZE6	141.8852	722.7727	0.19630680572191	13341503
JZE8	140.1821	711.3236	0.197072190491079	12929402
JZF1	151.9554	775.8146	0.195865610159953	13472189
JZF2	153.9182	785.2967	0.19600005959531	13854543
JZF3	153.067	767.6192	0.199404861160325	13790601
JZF4	153.1155	765.1187	0.200119929103811	13858340
KAD2	150.6186	772.8313	0.194891951192971	13619370
KAF1	144.8892	748.9595	0.193453985162082	12777903
KAF2	147.4409	759.437	0.19414500478644	13627799
KAF3	143.6969	745.579	0.192731957311029	12834507
KAF4	143.5614	748.1897	0.191878343152813	12834837
KAF5	141.8562	724.7251	0.195737942566085	13455774
KAF6	142.4757	728.5262	0.195567022846948	13627131
KAG3	125.3635	640.9518	0.195589590356092	13820955
KAG7	150.8056	757.8825	0.198982823854621	13899319
KAG8	151.6077	759.8396	0.199525926261279	13975621
KCE5	153.4542	782.6284	0.196075429923064	13699356
KCE7	137.3857	708.5378	0.193900311317194	13803623
KCF3	137.735	709.9964	0.193993941377731	13843208
KCG2	154.9203	787.3194	0.196769316239381	13760836
KCG3	154.0577	788.0889	0.195482641615686	13817870
KCI6	150.6777	770.5038	0.195557374279011	13820369
KCI7	150.4551	767.7555	0.195967466205061	13684547
KDG2	125.7713	641.1615	0.196161653499157	13838010
KEA4	132.0567	681.2872	0.193834112838169	13285409
KEB4	133.1562	693.1246	0.192110047746105	13566284
KEC1	149.6947	756.843	0.197788312767641	13620308
KEC2	147.8869	746.0101	0.198237128424937	13181263
KED6	131.5442	675.4934	0.194737950067314	12789519
KED7	132.2965	684.7991	0.193190236377355	13299977
KEE9	142.7797	746.2125	0.19133919627452	13054406
KEF1	144.6035	753.8436	0.191821619232424	13221541
KEF2	135.2185	695.6363	0.194381029282112	13802653
KEF3	135.4512	698.5115	0.193914058680494	13796291
KEH3	146.5425	747.6042	0.196016154002345	13910666
KFA7	137.9888	698.9032	0.197436211481075	13684170
KFA9	138.6175	701.56	0.197584668453162	13705724
KFD2	143.5205	732.273	0.195993161020548	13094022
KFD4	146.7861	752.7727	0.194993920475596	13853071
KFE8	134.5608	691.4093	0.194618151650549	12992422
KFF4	145.013	733.7795	0.197624763297421	13261119
KFH4	145.0757	744.7944	0.194786238994278	13445942
KFH5	144.1118	743.5355	0.193819662948171	13338028
KHA4	132.7658	687.6826	0.193062613478951	13187533
KHA5	133.0826	687.4938	0.193576436616592	13495898
KHA7	146.836	754.0195	0.194737669251259	13771109
KHA9	146.2652	763.3588	0.191607406634993	13335801
KHC4	147.6825	759.5959	0.194422455413464	13414375
KHC5	147.5386	755.8205	0.195203226162826	13340503
KHE6	148.1027	752.943	0.196698422058509	13871519
KYA1	145.7145	741.79	0.196436322948543	13566935
KYA5	146.408	759.062	0.192880159986931	13706481
KYB7	151.419	778.8469	0.194414332264788	13787306
KYB8	152.3649	785.2875	0.194024354137816	13862061
KYB9	150.5512	772.415	0.194909731167831	13261276
LBA1	145.3981	741.2623	0.196149325279324	13548857
LBE9	143.3651	729.4239	0.196545657470231	13350301
LBF3	147.3255	753.3243	0.195567168084184	13823600
LBF7	150.7374	780.4029	0.193153305811652	13806132
LBF8	150.695	766.4964	0.196602358471612	13630726
LCA1	148.1335	762.6889	0.194225325686528	13017652
LCA2	150.1952	774.0784	0.194030992209575	13541835
LCB4	148.8891	754.8082	0.197254216369139	13731341
LCB5	146.8584	759.7515	0.193297940181757	13535761
LCC2	146.2463	743.7903	0.196623026678353	13348762
LCC6	147.9532	752.1637	0.196703456973529	13701510
LCD1	134.5754	690.5827	0.194872243396772	13404534
LCD5	134.3748	690.194	0.194691347650081	13372036
LCD6	129.6061	670.0658	0.193422944433218	12883354
LCD7	128.5448	664.4375	0.193464095569561	12688440
LCF1	135.3169	699.7293	0.193384641746458	13718676
LCF3	134.9931	693.9644	0.194524531805954	13563766
LCF6	132.6112	679.4056	0.195187087065517	13192116
LCF8	134.5491	693.1967	0.194099452579621	13622721
LDA4	133.6297	696.376	0.19189302905327	13644637
LDA7	129.1821	651.9767	0.198139135953785	13034099
LDA9	130.7613	654.5487	0.199773217791128	13111176
LDC6	133.2925	687.3937	0.193909982008855	13458915
LDD1	149.4125	761.6633	0.196166074957268	13134024
LDD6	149.7288	766.729	0.195282557461632	13262035
LDD9	145.7421	742.7032	0.196231953760264	13369766
LDE1	145.6605	744.8607	0.19555401432778	13485485
LDE3	134.1407	687.3372	0.195159959332915	13343024
LDE4	130.4115	675.8401	0.192962063067877	12831041
LDF4	144.8991	739.3055	0.195993537177797	13353546
LDF5	146.5346	744.6962	0.196770978554745	13455511
LDG2	147.2912	760.6098	0.193648832818089	12884412
LDG3	149.3622	770.3622	0.193885681306793	13408275
LDI5	135.1081	696.7205	0.193920087036337	13691400
LDI7	133.3726	691.9918	0.192737254979033	13369520
LEA3	145.2286	736.9504	0.197066993925236	13366396
LEA4	145.0412	732.8506	0.197913735760058	13281836
LEC7	128.874	658.871	0.195598227877688	13468769
LEE1	146.5617	745.5473	0.196582698374738	13782947
LEF2	131.7075	660.4132	0.199431961687017	13616598
LEF8	135.1726	692.9264	0.195074974773656	13682382
LEF9	133.0876	687.8477	0.193484109927241	13540509
LEI6	124.7955	637.9377	0.19562333437889	13524977
LEI9	125.3025	637.613	0.196518107378614	13538293
LFA6	130.742	680.9272	0.19200584144678	12828457
LFA8	133.0269	682.9017	0.194796557103314	12934416
LFB7	148.893	758.2634	0.196360525906961	13415918
LFB9	148.9437	759.5469	0.19609546164957	13609993
LFD2	146.415	763.5936	0.19174466627274	13746133
LFD4	146.516	747.3879	0.196037425813289	13610151
LFE4	135.3976	704.0022	0.192325535346338	11911472
LFF7	151.2106	769.459	0.196515473858906	13283353
LFF8	151.3617	771.5477	0.1961793159386	13534776
LFG8	147.6013	752.3358	0.196190716964419	13790595
LFH1	146.9611	746.9635	0.196744686989391	13692386
LFI4	144.6543	738.2815	0.195933800318713	12943262
LFI6	143.1526	734.7409	0.194834124519269	12823243
LGA5	134.5133	695.2856	0.193464815034282	13671519
LGA6	134.9131	690.0795	0.19550370645701	13414790
LGB5	132.6874	680.3126	0.195038868896446	13050697
LGB8	132.0043	681.096	0.193811591904812	13151381
LGE2	144.3611	752.6978	0.191791579568852	13340619
LGE3	146.006	741.5361	0.196896685137784	13476202
LGG6	146.6672	745.2884	0.196792543664976	13716762
LGG7	144.9075	754.3959	0.192084156342843	13424085
LGH1	145.6196	750.5103	0.194027450389422	13359632
LGH3	144.8524	744.0948	0.194669281387264	12966000
LGH8	147.4769	765.8881	0.192556719447658	13384500
LGI1	147.8196	767.9805	0.192478324644962	13473388
LHA2	149.654	762.253	0.196331139398599	13068804
LHA5	151.6645	775.6353	0.195535840104235	13450772
LHB1	134.6331	690.39	0.195010211619519	13330482
LHB3	135.8292	698.4591	0.194469797873634	13817311
LHC1	151.4327	782.843	0.193439425274289	13901739
LHD2	132.3351	678.7337	0.194973522016072	13021648
LHD9	132.8275	682.068	0.194742313083153	13132141
LHE3	135.5726	697.3646	0.194407057656784	13800589
LHF2	151.0316	782.4473	0.193024629262571	13796770
LHF6	146.2071	745.4775	0.19612543638138	13910451
LHF7	146.0009	745.2308	0.195913668624539	13876963
LHG4	145.2967	740.4275	0.196233527252837	13555076
LHG6	144.4094	733.7666	0.196805632744799	13412649
LHI4	127.2651	654.0075	0.194592722560521	13213988
LHI6	128.1419	654.5565	0.195769043619611	13343761
LJA7	128.3464	660.1742	0.194412929193537	12774376
LJA8	132.4393	674.2458	0.196425843512855	13506614
LJB1	133.1407	686.443	0.193957400687311	12961937
LJC2	146.2898	746.3134	0.196016579629952	13763432
LJC3	147.429	762.1595	0.193435888419681	13917741
LJC9	148.4354	767.6482	0.193363835152613	13323437
